eval,beauty,minority,age,gender,credits,division,native,tenure,allstudents
4.3,0.5885687,no,62,male,more,upper,yes,yes,302
4,-0.126001,no,33,female,more,upper,yes,yes,34
4,-0.126001,no,33,female,more,upper,yes,yes,41
3.9,-0.126001,no,33,female,more,upper,yes,yes,41
3.3,-0.126001,no,33,female,more,upper,yes,yes,34
4.5,-0.25818990000000003,no,51,female,more,upper,yes,yes,22
4.5,-0.25818990000000003,no,51,female,more,upper,yes,yes,21
4.5,-0.25818990000000003,no,51,female,more,upper,yes,yes,17
2.5,-0.25818990000000003,no,51,female,more,lower,yes,yes,30
4.3,-0.25818990000000003,no,51,female,more,upper,yes,yes,23
4.5,-0.25818990000000003,no,51,female,more,upper,yes,yes,20
4.7,0.1496926,no,33,female,more,upper,yes,yes,33
3.5,0.1496926,no,33,female,more,upper,yes,yes,44
4.5,0.1496926,no,33,female,more,upper,yes,yes,49
3.8,0.1496926,no,33,female,more,upper,yes,yes,29
4.5,0.1496926,no,33,female,more,upper,yes,yes,48
4.3,0.1496926,no,33,female,more,upper,yes,yes,40
3.9,0.540917,no,47,male,more,upper,yes,no,16
4.3,0.540917,no,47,male,more,upper,yes,no,15
4.2,0.540917,no,47,male,more,upper,yes,no,23
5,0.540917,no,47,male,more,lower,yes,no,11
5,0.540917,no,47,male,more,lower,yes,no,29
4.6,0.540917,no,47,male,more,upper,yes,no,21
5,0.540917,no,47,male,more,lower,yes,no,18
4.7,0.540917,no,47,male,more,upper,yes,no,19
5,0.540917,no,47,male,more,lower,yes,no,20
2.7,0.2316134,yes,35,male,more,upper,no,yes,33
4,0.2316134,yes,35,male,more,upper,no,yes,24
4.4,-0.0666737,no,37,male,more,upper,yes,no,21
4.4,-0.0666737,no,37,male,more,upper,yes,no,30
4.3,-0.0666737,no,37,male,more,upper,yes,no,25
3.5,-0.0666737,no,37,male,more,upper,yes,no,35
3.8,0.2168924,no,42,male,more,upper,yes,yes,30
3.9,0.2168924,no,42,male,more,upper,yes,yes,42
3.7,0.2168924,no,42,male,more,upper,yes,yes,57
3.3,0.2168924,no,42,male,more,upper,yes,yes,57
4,0.2168924,no,42,male,more,upper,yes,yes,51
3.8,0.2168924,no,42,male,more,upper,yes,yes,30
4.2,-0.2586962,no,49,male,more,upper,no,yes,37
3.1,-0.2586962,no,49,male,more,upper,no,yes,29
3.6,-0.2586962,no,49,male,more,upper,no,yes,27
3.3,0.5502878,no,37,female,more,upper,yes,yes,52
2.9,0.5502878,no,37,female,more,upper,yes,yes,26
3.1,0.5502878,no,37,female,more,upper,yes,yes,30
4,-0.0620358,no,45,male,more,lower,yes,yes,177
4,-0.0620358,no,45,male,more,lower,yes,yes,199
4.2,-0.0620358,no,45,male,more,upper,yes,yes,32
3.8,-0.0620358,no,45,male,more,upper,yes,yes,37
4.3,-0.0620358,no,45,male,more,lower,yes,yes,161
4.6,-0.9823852,no,56,female,more,upper,yes,no,44
4.3,-0.9823852,no,56,female,more,upper,yes,no,53
3.6,-0.9823852,no,56,female,more,upper,yes,no,49
4.2,-0.9823852,no,56,female,more,upper,yes,no,32
3.9,-0.054344,no,48,male,more,upper,yes,no,33
4.1,-0.054344,no,48,male,more,upper,yes,no,19
4,-0.054344,no,48,male,more,lower,yes,no,111
4.3,-0.054344,no,48,male,more,lower,yes,no,149
3.9,-0.054344,no,48,male,more,upper,yes,no,27
4.2,-0.054344,no,48,male,more,lower,yes,no,136
4.2,-0.054344,no,48,male,more,lower,yes,no,140
4.9,-0.0680143,no,46,female,more,lower,yes,yes,15
4,-0.0680143,no,46,female,more,upper,yes,yes,29
4.3,-0.0680143,no,46,female,more,upper,yes,yes,25
4.9,-0.0680143,no,46,female,more,upper,yes,yes,18
3.9,-0.0680143,no,46,female,more,upper,yes,yes,45
4.9,-0.0680143,no,46,female,more,lower,yes,yes,15
3.9,-0.0680143,no,46,female,more,upper,yes,yes,38
4,-0.0680143,no,46,female,more,lower,yes,yes,15
3.5,0.0294137,no,57,female,more,upper,yes,no,23
3.9,0.0294137,no,57,female,more,upper,yes,no,19
4,0.0294137,no,57,female,more,upper,yes,no,23
3.6,0.0294137,no,57,female,more,upper,yes,no,22
3,0.0294137,no,57,female,more,upper,yes,no,20
3,0.0294137,no,57,female,more,upper,yes,no,19
3.6,0.0294137,no,57,female,more,upper,yes,no,23
3.6,0.0294137,no,57,female,more,upper,yes,no,22
3.2,0.0294137,no,57,female,more,upper,yes,no,15
3.9,0.2394859,no,52,female,more,upper,yes,no,31
3.5,0.2394859,no,52,female,more,upper,yes,no,21
3.5,0.2394859,no,52,female,more,upper,yes,no,36
3.1,0.2394859,no,52,female,single,upper,yes,no,19
4.2,0.2394859,no,52,female,more,upper,yes,no,37
3.6,-0.7330914,no,62,male,more,lower,yes,yes,184
4.5,-0.7330914,no,62,male,more,upper,yes,yes,50
3.7,-0.7330914,no,62,male,more,lower,yes,yes,157
3.4,-0.7330914,no,62,male,more,lower,yes,yes,164
4.5,-0.1111221,no,64,male,more,upper,yes,yes,68
4.6,-0.1111221,no,64,male,more,upper,yes,yes,47
4.8,-0.1111221,no,64,male,more,upper,yes,yes,14
4.5,-0.1111221,no,64,male,more,upper,yes,yes,15
4.4,-0.1111221,no,64,male,more,upper,yes,yes,24
4.1,-0.1111221,no,64,male,more,upper,yes,yes,39
3.9,1.775517,no,34,female,more,upper,yes,yes,40
4.3,-0.3218485,no,58,male,more,upper,yes,yes,151
3.5,-0.3218485,no,58,male,more,lower,yes,yes,47
4,-0.3218485,no,58,male,more,upper,yes,yes,122
4,-0.3218485,no,58,male,more,lower,yes,yes,45
4.6,0.2116939,yes,52,male,more,upper,no,yes,23
4.6,0.2116939,yes,52,male,more,upper,no,yes,16
3.7,0.2116939,yes,52,male,more,upper,no,yes,18
3.5,0.2116939,yes,52,male,more,upper,no,yes,16
3.6,0.2116939,yes,52,male,more,upper,no,yes,15
3.9,0.2116939,yes,52,male,more,upper,no,yes,28
4.2,-0.717645,no,73,male,more,upper,yes,yes,13
3.2,-0.717645,no,73,male,more,upper,yes,yes,21
4.9,-0.717645,no,73,male,more,upper,yes,yes,17
4,-0.7326927,no,70,male,more,upper,yes,yes,48
3.5,-0.7326927,no,70,male,more,upper,yes,yes,64
3.4,-0.7326927,no,70,male,more,upper,yes,yes,69
4.2,-0.0102077,no,63,male,more,upper,yes,no,14
3.5,-0.0102077,no,63,male,more,upper,yes,no,15
4.4,-0.0102077,no,63,male,more,upper,yes,no,18
3.7,-0.0102077,no,63,male,more,upper,yes,no,16
3.4,-0.0102077,no,63,male,more,upper,yes,no,10
3,-0.0102077,no,63,male,more,upper,yes,no,47
3.9,-0.923957,no,47,male,more,upper,yes,yes,14
2.8,-0.923957,no,47,male,more,upper,yes,yes,12
3.7,0.5766805,no,39,male,more,lower,yes,yes,316
4.6,0.5766805,no,39,male,more,upper,yes,yes,15
4.2,0.5766805,no,39,male,more,upper,yes,yes,15
4.4,0.5766805,no,39,male,more,upper,yes,yes,29
3.8,-0.0836015,yes,47,female,more,upper,yes,yes,8
4.1,-0.0836015,yes,47,female,single,lower,yes,yes,16
3.7,-0.0836015,yes,47,female,more,lower,yes,yes,26
4.1,-0.0836015,yes,47,female,more,upper,yes,yes,10
3,-0.0836015,yes,47,female,more,lower,yes,yes,26
3.2,-0.0836015,yes,47,female,more,lower,yes,yes,26
2.8,-0.0836015,yes,47,female,more,lower,yes,yes,26
4.7,-0.0836015,yes,47,female,single,lower,yes,yes,21
4.2,-0.0836015,yes,47,female,more,lower,yes,yes,12
3.2,-0.0836015,yes,47,female,more,lower,yes,yes,27
3.1,-0.0836015,yes,47,female,more,lower,yes,yes,27
4,-0.0836015,yes,47,female,more,lower,yes,yes,25
4.2,-1.079558,no,54,male,more,upper,yes,yes,15
4.3,-1.079558,no,54,male,more,upper,yes,yes,17
3.3,1.040902,yes,44,female,more,upper,yes,yes,48
4.1,1.040902,yes,44,female,more,upper,yes,yes,21
3.7,1.040902,yes,44,female,more,upper,yes,yes,39
3.3,-1.052108,yes,47,male,more,upper,yes,yes,14
3.8,-1.052108,yes,47,male,more,upper,yes,yes,26
3.4,-1.052108,yes,47,male,more,upper,yes,yes,16
4.2,-1.052108,yes,47,male,more,upper,yes,yes,16
3.8,-1.052108,yes,47,male,more,upper,yes,yes,13
3.5,-1.052108,yes,47,male,more,upper,yes,yes,14
3.3,-1.052108,yes,47,male,more,upper,yes,yes,17
4.3,-0.7277681,no,62,male,more,upper,yes,yes,15
4.1,-0.7277681,no,62,male,more,upper,yes,yes,10
4.5,-0.3953965,no,60,male,more,upper,yes,yes,16
4.5,-0.3953965,no,60,male,more,upper,yes,yes,14
4.6,-0.3953965,no,60,male,more,upper,yes,yes,12
4.4,-0.3953965,no,60,male,more,upper,yes,yes,39
4.1,-0.3953965,no,60,male,more,upper,yes,yes,35
4.5,-0.3953965,no,60,male,more,upper,yes,yes,45
4.3,-0.3953965,no,60,male,more,lower,yes,yes,45
4.4,-0.2377786,no,42,male,more,upper,yes,yes,14
4.9,-0.2377786,no,42,male,more,upper,yes,yes,14
4.7,-0.2377786,no,42,male,more,upper,yes,yes,12
4.6,-0.2377786,no,42,male,more,upper,yes,yes,15
4.8,0.274908,no,35,male,more,lower,yes,yes,23
4.2,0.274908,no,35,male,more,upper,yes,yes,57
4.6,0.274908,no,35,male,more,lower,yes,yes,50
4.7,1.970023,no,39,female,more,upper,yes,no,23
4.6,1.970023,no,39,female,more,upper,yes,no,23
3.6,1.970023,no,39,female,more,lower,yes,no,28
3.9,1.05095,no,49,male,more,upper,yes,yes,42
4,1.05095,no,49,male,more,upper,yes,yes,57
4.4,0.2418185,no,61,male,more,upper,yes,yes,38
4.5,0.2418185,no,61,male,more,lower,yes,yes,22
4.4,0.2418185,no,61,male,more,upper,yes,yes,43
3,1.349395,no,33,male,more,upper,yes,yes,13
3.7,1.349395,no,33,male,more,upper,yes,yes,15
3.6,-0.2577254,no,56,female,more,upper,yes,yes,20
3.1,-0.2577254,no,56,female,more,upper,yes,yes,23
3.8,-0.6562689,no,50,female,single,lower,yes,no,32
4.7,-0.6562689,no,50,female,single,lower,yes,no,21
3.8,-0.6562689,no,50,female,more,upper,yes,no,24
3.8,-0.6562689,no,50,female,more,upper,yes,no,21
2.8,-0.6562689,no,50,female,more,upper,yes,no,28
4,-0.6562689,no,50,female,more,upper,yes,no,29
4,-0.6563948,no,52,male,more,upper,yes,yes,89
3.5,-0.6563948,no,52,male,more,upper,yes,yes,82
3.4,-0.6563948,no,52,male,more,upper,yes,yes,122
4,-0.6563948,no,52,male,more,upper,yes,yes,131
3.5,-0.6563948,no,52,male,more,upper,yes,yes,114
3.8,-0.6563948,no,52,male,more,upper,yes,yes,149
4.7,-0.6563948,no,52,male,more,upper,yes,yes,23
3.9,-0.6563948,no,52,male,more,upper,yes,yes,98
4.5,-0.6563948,no,52,male,more,upper,yes,yes,27
4.2,-0.6563948,no,52,male,more,upper,yes,yes,30
4.7,-0.6563948,no,52,male,more,upper,yes,yes,30
4,-0.6563948,no,52,male,more,upper,yes,yes,69
4.8,0.7244775,no,33,female,more,upper,yes,yes,10
4.8,0.7244775,no,33,female,more,upper,yes,yes,11
4.4,0.7244775,no,33,female,more,upper,yes,yes,14
4.7,0.7244775,no,33,female,more,upper,yes,yes,11
4.5,0.7244775,no,33,female,more,upper,yes,yes,14
4.2,0.6318343,no,57,male,more,upper,yes,yes,41
4.4,0.6318343,no,57,male,more,upper,yes,yes,88
4.1,0.6318343,no,57,male,more,upper,yes,yes,78
4.2,1.070944,no,38,female,more,lower,yes,yes,157
4.8,1.070944,no,38,female,more,upper,yes,yes,68
4.4,1.070944,no,38,female,more,upper,yes,yes,67
4.7,1.070944,no,38,female,more,upper,yes,yes,80
4.2,1.070944,no,38,female,more,lower,yes,yes,137
4.5,1.070944,no,38,female,more,upper,yes,yes,69
3.4,-1.450494,no,34,female,more,lower,yes,yes,80
3.7,-1.450494,no,34,female,more,lower,yes,yes,90
3.6,-1.450494,no,34,female,more,upper,yes,yes,34
3.9,-1.450494,no,34,female,more,upper,yes,yes,73
3.9,-1.450494,no,34,female,more,upper,yes,yes,44
3.7,1.15588,no,34,male,more,upper,yes,yes,20
3,1.15588,no,34,male,more,lower,yes,yes,35
3.6,-0.3260148,no,32,male,more,lower,yes,yes,168
3.6,-0.3260148,no,32,male,more,lower,yes,yes,247
4.3,-0.3260148,no,32,male,more,upper,yes,yes,22
4.5,-0.3260148,no,32,male,more,upper,yes,yes,103
3.9,0.8846435,no,42,female,more,upper,yes,yes,82
4.6,-0.5583452,no,43,female,more,upper,yes,yes,35
4.1,-0.5583452,no,43,female,more,lower,yes,yes,34
4.2,-0.5583452,no,43,female,more,lower,yes,yes,37
4.1,-0.5583452,no,43,female,more,lower,yes,yes,14
3.1,-0.5583452,no,43,female,more,lower,yes,yes,266
3.6,-0.5583452,no,43,female,more,lower,yes,yes,254
4.2,-0.5583452,no,43,female,more,upper,yes,yes,13
3,-0.5583452,no,43,female,more,lower,yes,yes,282
4.2,-0.5583452,no,43,female,more,upper,yes,yes,17
3.4,-0.3415543,no,35,male,more,lower,no,yes,42
3.1,-0.5040575,no,62,female,more,upper,yes,yes,16
2.7,-0.5040575,no,62,female,more,upper,yes,yes,19
3.9,0.773524,no,52,female,more,upper,yes,yes,98
3.9,1.063938,no,52,female,more,upper,yes,yes,65
3.6,1.063938,no,52,female,more,upper,yes,yes,63
3.7,-1.090389,no,52,female,more,upper,yes,no,43
3.6,-1.090389,no,52,female,more,upper,yes,no,80
4.4,-1.090389,no,52,female,more,upper,yes,no,52
4.3,-1.090389,no,52,female,more,upper,yes,no,48
4.1,-1.090389,no,52,female,more,upper,yes,no,66
3.7,-1.090389,no,52,female,more,upper,yes,no,100
3.6,-1.069162,no,64,male,more,upper,yes,yes,16
2.8,-1.069162,no,64,male,more,upper,yes,yes,22
4,-1.069162,no,64,male,more,upper,yes,yes,11
4.4,-1.069162,no,64,male,more,upper,yes,yes,10
3.6,-1.069162,no,64,male,more,upper,yes,yes,16
3.7,1.415695,no,50,male,more,upper,yes,yes,10
2.9,-1.422919,no,60,male,more,upper,yes,yes,10
2.6,-1.422919,no,60,male,more,upper,yes,yes,16
4.8,-0.4899626,no,43,male,single,lower,yes,yes,28
4.9,-0.4899626,no,43,male,single,lower,yes,yes,30
4.3,-0.4899626,no,43,male,more,lower,yes,yes,15
4.4,-0.4899626,no,43,male,more,lower,yes,yes,13
4.3,-0.4899626,no,43,male,single,lower,yes,yes,18
4.7,-0.4899626,no,43,male,single,lower,yes,yes,26
4.3,-0.4899626,no,43,male,single,lower,yes,yes,30
4.6,-0.4899626,no,43,male,more,lower,yes,yes,14
4.9,-0.5835869,yes,50,male,single,lower,yes,no,22
4.8,-0.5835869,yes,50,male,single,lower,yes,no,25
4.7,-0.5835869,yes,50,male,single,lower,yes,no,26
4.8,-0.5835869,yes,50,male,single,lower,yes,no,22
4.9,-0.5835869,yes,50,male,single,lower,yes,no,26
4.8,-0.5835869,yes,50,male,single,lower,yes,no,20
4.8,-0.5835869,yes,50,male,single,lower,yes,no,22
5,-0.5835869,yes,50,male,single,lower,yes,no,21
4.5,-0.5835869,yes,50,male,single,lower,yes,no,21
3.8,0.7566829,no,52,male,more,upper,yes,yes,65
3.8,0.7566829,no,52,male,more,upper,yes,yes,62
3.8,0.7566829,no,52,male,more,upper,yes,yes,67
4,0.7566829,no,52,male,more,upper,yes,yes,40
4.2,0.7566829,no,52,male,more,upper,yes,yes,45
4.5,0.8808186,no,51,male,more,lower,yes,yes,579
4.5,0.8808186,no,51,male,more,lower,yes,yes,537
4.6,0.8808186,no,51,male,more,lower,yes,yes,581
4.7,0.8808186,no,51,male,more,lower,yes,yes,527
4.1,-0.5665014,no,38,male,more,lower,yes,yes,84
3.6,-0.5665014,no,38,male,more,lower,yes,yes,79
4,-0.5665014,no,38,male,more,lower,yes,yes,92
3.4,0.3394037,no,47,female,more,lower,yes,yes,67
2.8,-0.1513687,yes,43,female,more,lower,yes,yes,190
4.1,-1.024997,no,38,female,more,lower,yes,no,60
3.5,-1.024997,no,38,female,more,lower,yes,no,64
3.4,-1.024997,no,38,female,more,lower,yes,no,31
4.1,-1.024997,no,38,female,more,lower,yes,no,62
4.2,-1.024997,no,38,female,more,lower,yes,no,37
4.3,-0.0252444,no,43,male,more,lower,yes,yes,13
4.1,-0.0252444,no,43,male,more,upper,yes,yes,15
3.4,-0.0252444,no,43,male,more,upper,yes,yes,79
3.5,-0.7467875,no,57,male,more,upper,yes,yes,98
3.6,-0.7467875,no,57,male,more,upper,yes,yes,97
3.7,0.9889485,no,51,female,more,upper,yes,yes,78
3,0.9889485,no,51,female,more,upper,yes,yes,56
4.6,0.9889485,no,51,female,more,upper,yes,yes,20
4,-0.5324199,no,45,male,single,lower,yes,no,20
4.8,-0.5324199,no,45,male,more,lower,yes,no,19
4.6,-0.5324199,no,45,male,single,lower,yes,no,26
3.4,-0.7668921,no,57,male,more,lower,yes,yes,18
4.4,-0.7668921,no,57,male,more,lower,yes,yes,12
3.6,-0.7668921,no,57,male,more,lower,yes,yes,19
3.8,-0.7668921,no,57,male,more,lower,yes,yes,16
3.7,-0.7668921,no,57,male,more,lower,yes,yes,16
4.7,-0.7668921,no,57,male,more,lower,yes,yes,12
4.5,-0.7668921,no,57,male,more,lower,yes,yes,17
5,-0.7668921,no,57,male,more,upper,yes,yes,15
3.8,-0.7668921,no,57,male,more,lower,yes,yes,16
4.1,-0.7668921,no,57,male,more,lower,yes,yes,17
4.3,1.154256,no,47,female,single,lower,yes,no,17
4.4,1.154256,no,47,female,single,lower,yes,no,10
4.7,1.154256,no,47,female,single,lower,yes,no,17
3.9,1.154256,no,47,female,more,lower,yes,no,17
4.8,1.232602,yes,54,female,more,lower,yes,yes,16
4.3,1.232602,yes,54,female,more,lower,yes,yes,26
4.6,1.232602,yes,54,female,more,lower,yes,yes,18
3.8,1.232602,yes,54,female,more,lower,yes,yes,20
5,1.774334,no,58,male,more,lower,yes,no,21
4.9,1.774334,no,58,male,more,lower,yes,no,21
4.6,1.774334,no,58,male,more,lower,yes,no,20
4.6,1.774334,no,58,male,more,lower,yes,no,20
5,1.774334,no,58,male,more,lower,yes,no,13
4.6,1.774334,no,58,male,more,lower,yes,no,16
4.9,1.774334,no,58,male,more,lower,yes,no,17
4,1.773151,no,42,male,more,lower,yes,yes,24
3.9,1.773151,no,42,male,more,upper,yes,yes,20
4.1,0.7245926,no,33,male,more,lower,yes,yes,155
2.9,-1.181626,no,62,male,more,lower,yes,yes,70
2.8,-1.181626,no,62,male,more,lower,yes,yes,149
2.8,-1.181626,no,62,male,more,lower,yes,yes,137
4,-1.181626,no,62,male,more,upper,yes,yes,29
3.3,-1.181626,no,62,male,more,lower,yes,yes,55
3,-1.181626,no,62,male,more,lower,yes,yes,136
3.6,1.769452,yes,35,female,more,lower,yes,yes,60
3.8,1.769452,yes,35,female,more,lower,yes,yes,108
3.9,-0.5872612,no,61,male,more,lower,yes,yes,15
4.7,-0.0018324,no,52,female,more,lower,yes,yes,17
4.7,-0.0018324,no,52,female,more,lower,yes,yes,19
3.9,-0.0566766,no,60,female,more,upper,no,yes,19
4.4,-0.0566766,no,60,female,more,upper,no,yes,13
3.6,-0.0566766,no,60,female,more,upper,no,yes,19
4.2,-0.0566766,no,60,female,more,upper,no,yes,22
3.4,-0.0566766,no,60,female,more,upper,no,yes,20
4,-0.0566766,no,60,female,more,upper,no,yes,27
4.2,1.231394,no,32,male,more,lower,yes,yes,127
4.4,1.231394,no,32,male,more,upper,yes,yes,85
4.5,1.231394,no,32,male,more,lower,yes,yes,101
3.2,1.231394,no,32,male,more,lower,yes,yes,21
4.3,1.231394,no,32,male,more,upper,yes,yes,86
3.3,0.4203998,yes,42,female,more,upper,no,yes,67
3.2,0.4203998,yes,42,female,more,upper,no,yes,66
4.1,0.4203998,yes,42,female,single,lower,no,yes,35
